時,19歲以下,20-24歲,25-29歲,30-34歲,35-39歲,40-44歲,45-49歲,50-54歲,55-59歲,60歲以上
1,3.180491156,6.107037587,4.767376913,4.222159673,4.066088357,3.335135083,3.089670455,2.902029399,2.762836258,2.062869455
2,0.716125708,2.935025073,2.223219273,1.951166815,1.778540348,1.530631885,1.268865254,1.236900434,1.195486556,1.0043644
3,0.192340718,1.188765195,0.910469947,0.794857411,0.776725561,0.667796904,0.54950474,0.603563302,0.5263111,0.438649798
4,0.065258458,0.507730802,0.400753282,0.372651355,0.396994883,0.290953184,0.281875354,0.285424424,0.292857079,0.270703276
5,0.041215868,0.230027457,0.205107544,0.185037255,0.228443882,0.214124863,0.172656264,0.208233015,0.200485323,0.193083255
6,0.037781212,0.123191709,0.130633972,0.132905709,0.19465186,0.192792573,0.178257243,0.205476179,0.223058485,0.260759074
7,0.207796668,0.146159655,0.175348637,0.211697685,0.324256126,0.379490206,0.413863641,0.383935365,0.404831845,0.411303243
8,0.511763696,0.406463041,0.385950133,0.445199438,0.680749676,0.801244009,0.855488655,0.777979129,0.803129353,0.807137727
9,0.793405461,1.031469566,1.144573349,1.408443725,2.007311513,2.350802287,2.495114363,2.069281127,2.124847408,1.789680128
10,1.547312382,1.960279374,2.837626246,3.338202909,4.361625355,5.021187936,5.051717735,4.29551812,4.382460653,3.817744876
11,2.385368367,3.462939827,4.369370607,5.276584611,5.756998548,6.072324482,6.131976111,5.557046289,6.113465782,5.451632506
12,3.989352567,4.185734122,5.293117604,5.989577655,5.98822434,6.435053603,6.54559623,6.245336352,6.320782457,5.794431247
13,9.689163661,10.35436756,11.87243043,12.68154365,13.63201225,13.67367692,12.23083339,12.90640358,13.10639385,12.92442406
14,5.823458698,6.05100972,6.84164904,7.415861072,7.504283323,7.425561536,7.291500514,7.482236786,6.943920542,7.486879178
15,4.645371801,5.462195109,6.662332549,7.0145671,6.601962719,6.960902564,6.762329764,7.038018607,6.811451722,8.214739517
16,4.657393096,5.02963213,5.742248186,6.253010448,6.04721719,5.944731726,6.055145291,6.150501193,6.451172171,7.403182145
17,4.51142023,5.286803523,5.816569149,6.073622429,5.561528479,5.683772062,5.795430332,6.055298455,6.054062724,7.500414342
18,6.91052722,5.602438778,5.981235101,5.589869433,5.075185202,5.014932603,5.386071826,6.312419363,6.396818372,6.99215513
19,8.600377812,5.01675616,5.102965818,4.48985417,4.124590282,4.07879795,4.631400793,4.891913649,5.424984332,6.526711231
20,6.77485832,5.045640092,4.410880467,3.921560854,3.807043468,3.776697441,4.244689724,4.464236485,4.29365308,5.500248605
21,7.53735188,5.328563425,4.54044617,4.16794683,4.079097876,4.135416733,4.363284365,4.423251523,4.488792128,3.620518203
22,8.526532715,6.700028188,5.636794828,5.080248884,4.905488708,4.90650683,5.071686443,5.042804474,4.620963933,3.876857632
23,10.80714408,8.598363708,7.112531399,6.374617685,6.036498656,5.72812077,5.931801993,5.493271482,5.323108087,4.133749517
24,7.848188219,9.239378195,7.436369352,6.608813205,6.064481395,5.379345853,5.201239521,4.968921268,4.73412676,3.51776145
