地區,類別,2013,2014,2015,2016,2017,2018,2019,,,,,,,
雙北,戲劇,376.535956,345.93259,416.187067,366.083735,375.774244,431.091074,357.614748,,,,,,,
雙北,音樂,196.624466,226.651457,179.120172,228.187563,254.057652,238.091758,252.852261,,,,,,,
雙北,舞蹈,74.73636,116.805337,73.614499,52.678659,80.878207,63.773768,58.642093,,,,,,,
雙北,親子,52.474356,60.996616,69.883689,63.524844,55.587744,58.006469,72.534824,,,,,,,
雙北,其他,37.386837,36.084826,19.883583,20.201858,32.93102,22.196515,27.536042,,,,,,,
北部,戲劇,23.272977,16.651564,20.48485,31.858605,22.76492,21.514654,19.029786,,,,,,,
北部,音樂,6.632406,8.702571,15.579115,12.987046,14.633148,13.146725,18.022958,,,,,,,
北部,舞蹈,1.86545,4.84246,4.735642,3.046856,2.886376,4.719492,3.77679,,,,,,,
北部,親子,10.06549,12.525941,8.650288,8.485246,15.712702,16.059764,14.213346,,,,,,,
北部,其他,4.175825,2.79274,3.202946,2.723415,2.39282,5.328614,0,,,,,,,
中部,戲劇,32.131419,54.377875,35.249204,71.31929,108.437499,94.46033,103.402514,,,,,,,
中部,音樂,16.101857,20.667044,24.42534,44.194571,45.573211,53.66651,61.828001,,,,,,,
中部,舞蹈,10.080767,6.97845,8.982813,8.600785,18.490789,23.77756,19.014162,,,,,,,
中部,親子,14.062337,17.10459,13.58692,14.525029,20.107718,14.157626,17.022757,,,,,,,
中部,其他,6.22924,10.303948,7.51004,8.0539,12.159984,10.144503,15.311457,,,,,,,
南部,其他,73.327949,85.838961,83.345768,84.059283,72.530309,71.983815,121.621834,,,,,,,
南部,音樂,27.634204,35.438518,42.330453,42.541941,37.42843,46.722786,95.239843,,,,,,,
南部,舞蹈,19.734828,17.568139,19.965419,10.710975,16.719205,14.832109,25.37542,,,,,,,
南部,親子,10.791833,19.952228,15.905655,15.677387,15.549101,16.488967,23.187977,,,,,,,
南部,戲劇,17.562925,9.69515,12.118953,7.466495,9.78455,8.661504,17.837784,,,,,,,
東部,戲劇,2.425475,1.995885,1.71144,1.201723,1.99455,1.900275,1.78011,,,,,,,
東部,音樂,3.56564,3.473468,1.5448,3.6638,2.21284,3.183572,1.48612,,,,,,,
東部,舞蹈,0.043615,2.001375,1.43032,0.66172,0.48918,0.18673,0.554245,,,,,,,
東部,親子,0,0,2.14022,0,0,0,0,,,,,,,
東部,其他,2.526674,2.297994,2.18136,1.567494,1.372603,1.269195,1.661925,,,,,,,
