地區,類別,2013,2014,2015,2016,2017,2018,2019
雙北,戲劇,1539,1704,1895,1734,1798,1884,1854
雙北,音樂,1052,1161,1014,1165,1125,1207,1202
雙北,舞蹈,402,476,461,440,424,377,428
雙北,親子,424,468,539,448,422,571,469
雙北,其他,431,487,333,380,323,302,331
北部,戲劇,60,107,85,87,107,176,203
北部,音樂,71,80,125,109,103,113,113
北部,舞蹈,35,31,29,28,22,35,33
北部,親子,39,94,53,56,98,99,110
北部,其他,8,3,36,4,3,35,
中部,戲劇,122,113,86,141,161,209,204
中部,音樂,154,162,186,186,232,293,311
中部,舞蹈,35,38,54,56,113,87,68
中部,親子,68,85,87,105,126,91,105
中部,其他,18,10,7,22,54,87,66
南部,戲劇,140,8,20,18,24,35,71
南部,音樂,300,245,234,260,276,284,396
南部,舞蹈,159,138,154,125,182,132,119
南部,親子,135,163,202,132,112,100,93
南部,其他,229,399,421,409,378,362,511
東部,戲劇,10,9,10,10,13,10,14
東部,音樂,27,29,19,21,17,21,17
東部,舞蹈,2,9,11,7,5,1,5
東部,親子,13,8,14,13,11,5,11
東部,其他,0,0,4,0,0,0,0
