歲,戲劇,音樂,舞蹈,親子
19以下,0.445914648,0.329334042,0.115973119,0.108778191
20-24,0.644698632,0.217027055,0.116664926,0.021609388
25-29,0.65163405,0.21049061,0.077288505,0.060586834
30-34,0.580257007,0.204796356,0.079350329,0.135596307
35-39,0.403716135,0.198883156,0.069160576,0.328240133
40-44,0.365166836,0.260985623,0.075427728,0.298419813
45-49,0.416362908,0.34821643,0.105821622,0.129599039
50-54,0.529624378,0.338289086,0.098613485,0.03347305
55-59,0.44503325,0.42142229,0.109565657,0.023978803
60以上,0.420739221,0.434650437,0.10811842,0.036491922
